AREASYMBOL,SPATIALVER,MUSYM,MUKEY,MUKEY_1,OrgMatter
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",CfB,"393279","393279",0.44000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",CfB,"393279","393279",0.44000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",BeD2,"393276","393276",1.07000000000
TX021,"5",WsA,"393329","393329",0.72000000000
TX021,"5",BeB,"393274","393274",1.07000000000
TX021,"5",BaA,"393271","393271",0.65000000000
TX021,"5",Bo,"393277","393277",1.31000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",TfA,"393320","393320",0.55000000000
TX021,"5",CfB,"393279","393279",0.44000000000
TX021,"5",JeF,"393302","393302",0.83000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",TfA,"393320","393320",0.55000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",CsE2,"393285","393285",0.44000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",JeF,"393302","393302",0.83000000000
TX021,"5",BeC2,"393275","393275",1.07000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",KrA,"393303","393303",1.39000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",No,"393313","393313",2.50000000000
TX021,"5",RoD,"393312","393312",0.42000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",SeD2,"393316","393316",0.45000000000
TX021,"5",Sa,"393314","393314",0.55000000000
TX021,"5",No,"393313","393313",2.50000000000
TX021,"5",Gs,"393296","393296",1.49000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",BeC2,"393275","393275",1.07000000000
TX021,"5",BeB,"393274","393274",1.07000000000
TX021,"5",MaA,"393306","393306",1.38000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",AfE2,"393293","393293",0.55000000000
TX021,"5",CfB,"393279","393279",0.44000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",W,"393326","393326",0.00000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",BeC2,"393275","393275",1.07000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",WsB,"393330","393330",0.72000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",MaB,"393307","393307",1.38000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",AfE2,"393293","393293",0.55000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",JeF,"393302","393302",0.83000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",Sa,"393314","393314",0.55000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",CfB,"393279","393279",0.44000000000
